축제 번호,축제명,실적기준, 가맹점수 ,카드이용자수,카드이용건수,카드이용금액
57,제주 이호테우축제 2016,행사기간 일평균,28.7,891,1046,129346957
57,제주 이호테우축제 2016,행사시작 1주일전 일평균,17.6,817,1011,140771881
57,제주 이호테우축제 2016,전년 동기 일평균,16,501,621,42682778
58,표선해비치해변 하얀모래축제 2016,행사기간 일평균,102,929,1531,55117500
58,표선해비치해변 하얀모래축제 2016,행사시작 1주일전 일평균,38.3,586,1322,45697020
58,표선해비치해변 하얀모래축제 2016,전년 동기 일평균,39.4,603,1273,57917492
59,금능 원담축제 2016,행사기간 일평균,32.5,678,1027,20662975
59,금능 원담축제 2016,행사시작 1주일전 일평균,10.6,499,802,14818583
59,금능 원담축제 2016,전년 동기 일평균,11,591,976,19840860
60,서귀포 야해페스티벌 2016,행사기간 일평균,31.3,571,1183,41285821
60,서귀포 야해페스티벌 2016,행사시작 1주일전 일평균,31.3,607,1285,46611367
60,서귀포 야해페스티벌 2016,전년 동기 일평균,31.3,577,1163,47487906
61,"예래생태마을체험축제 2016 (구,논짓물축제)",행사기간 일평균,120,2091,3115,410000467
61,"예래생태마을체험축제 2016 (구,논짓물축제)",행사시작 1주일전 일평균,43.7,1963,3535,370126103
61,"예래생태마을체험축제 2016 (구,논짓물축제)",전년 동기 일평균,42.9,1574,2688,314802426
62,제주국제관악제 2016,행사기간 일평균,283.2,4601,10843,378145465
62,제주국제관악제 2016,행사시작 1주일전 일평균,354.6,5069,10862,393535491
62,제주국제관악제 2016,전년 동기 일평균,288.7,4406,10032,346738296
63,도두 오래물축제 2016,행사기간 일평균,43,1263,1606,117126270
63,도두 오래물축제 2016,행사시작 1주일전 일평균,19.7,1072,1392,108108419
63,도두 오래물축제 2016,전년 동기 일평균,18.3,633,868,44531274
64,쇠소깍 축제 2016,행사기간 일평균,25.5,333,427,11821288
64,쇠소깍 축제 2016,행사시작 1주일전 일평균,11.4,258,405,13820898
64,쇠소깍 축제 2016,전년 동기 일평균,10.4,236,330,11137396
65,제주 레저스포츠대축제 2016,행사기간 일평균,246.3,4172,7058,431118841
65,제주 레저스포츠대축제 2016,행사시작 1주일전 일평균,214.7,3971,6922,395375737
65,제주 레저스포츠대축제 2016,전년 동기 일평균,57.9,2497,6870,482640007
66,제주 뮤직 페스티벌 2016,행사기간 일평균,29,601,834,36643701
66,제주 뮤직 페스티벌 2016,행사시작 1주일전 일평균,9.4,532,829,33159057
66,제주 뮤직 페스티벌 2016,전년 동기 일평균,9.4,503,758,30568395
